ts,lat,lon,alt_msl,rel_alt,mode,armed,wp_idx,obs_count,nearest_obs_dist_m,evasion_active,evasion_path_len,evasion_path_idx
1785494211.426088,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494211.9283707,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494212.4307208,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494212.9332283,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494213.4357028,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494213.9379973,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494214.4402697,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494214.942545,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494215.4447107,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494215.9473193,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494216.4495149,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494216.9517505,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494217.454213,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494217.9563458,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494218.4590552,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494218.9615147,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494219.4639328,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494219.9661493,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494220.4687378,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494220.9710827,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494221.4734871,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494221.9759011,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
1785494222.4781153,0.0,0.0,0.0,0.0,UNKNOWN,0,1,0,,0,0,0
